Velocidad viento;Corriente [A];Tensión [V];Omega [rpm];Torque [Nm]
5 m/s;0,34;0,7626;9,6865;1,5247
6 m/s;0,5942;1,4033;13,6211;2,1432
7 m/s;0,9178;2,2464;17,6487;2,9336
8 m/s;1,2613;3,1128;23,7;3,8522
9 m/s;1,7314;4,3449;30,8551;5,0599
