Velocidad viento;Corriente [A];Tensión [V];Omega [rpm];Torque [Nm]
5 m/s;0,29248;1,2845;12,0652;1,5412
6 m/s;0,54083;2,5379;18,2692;2,2729
7 m/s;0,79744;3,8769;24,7615;3,004
8 m/s;1,13859;5,5964;32,8897;3,9363
9 m/s;1,57019;7,7472;43,3615;5,1304
