Velocidad viento;Corriente [A];Tensión [V];Omega [rpm];Torque [Nm]
5 m/s;0,32392;1,8278;13,744;1,5339
6 m/s;0,58641;3,5831;21,8718;2,267
7 m/s;0,92174;5,8605;32,186;3,127
8 m/s;1,27634;8,2037;43,0302;4,0846
9 m/s;1,58058;10,2395;52,3667;5,1915
