Velocidad viento;Corriente [A];Tensión [V];Omega [rpm];Torque [Nm]
5 m/s;0,3472;3,3312;19,2128;1,6048
6 m/s;0,6341;6,1936;31,9026;2,3496
7 m/s;0,96051;9,4603;46,1641;3,2617
8 m/s;1,18923;11,741;55,9846;4,212
9 m/s;1,63436;16,2167;75,3949;5,5743
