Velocidad viento;Corriente [A];Tensión [V];Omega [rpm];Torque [Nm]
5 m/s;0,3334;0,9984;10,2976;1,5246
6 m/s;0,6009;1,8933;15,2744;2,1742
7 m/s;0,906;2,9716;21,393;3,0267
8 m/s;1,2695;4,2426;28,0179;3,9615
9 m/s;1,6987;5,6922;35,2688;5,0706
