Velocidad viento;Corriente [A];Tensión [V];Omega [rpm];Torque [Nm]
5 m/s;0,3515;1,2301;11,2624;1,5203
6 m/s;0,6094;2,2772;16,8326;2,238
7 m/s;0,901;3,4958;22,9558;3,0045
8 m/s;1,2709;5,0036;30,4359;3,9447
9 m/s;1,7069;6,7699;39,4522;5,1178
