Velocidad viento;Corriente [A];Tensión [V];Omega [rpm];Torque [Nm]
5 m/s;0,3289;0,6139;9,3887;1,5392
6 m/s;0,6027;1,1697;12,8936;2,1366
7 m/s;0,9329;1,8723;16,8744;2,9721
8 m/s;1,2679;2,5826;21,4488;3,8475
9 m/s;1,7105;3,5158;27,4291;4,9865
