;5 m/s;;6 m/s;;7 m/s;;8 m/s;;9 m/s;2 Ohm;;2,5 Ohm;;3,33 Ohm;;4 Ohm;;5 Ohm;;6,66 Ohm;;10 Ohm;;20 Ohm;
Omega [rpm];T [Nm];Omega [rpm];T [Nm];Omega [rpm];T [Nm];Omega [rpm];T [Nm];Omega [rpm];T [Nm];Omega [rpm];T [Nm];Omega [rpm];T [Nm];Omega [rpm];T [Nm];Omega [rpm];T [Nm];Omega [rpm];T [Nm];Omega [rpm];T [Nm];Omega [rpm];T [Nm];Omega [rpm];T [Nm]
1,00E-02;1,34E+00;1,00E-02;1,94E+00;1,00E-02;2,63E+00;1,00E-02;3,44E+00;1,00E-02;4,36E+00;0,00E+00;0,00E+00;0,00E+00;0,00E+00;0,00E+00;0,00E+00;0,00E+00;0,00E+00;0,00E+00;0,00E+00;0,00E+00;0,00E+00;0,00E+00;0,00E+00;0,00E+00;0,00E+00
2,60E+02;6,05E+00;2,60E+02;9,93E+00;2,60E+02;1,44E+01;2,60E+02;1,87E+01;2,60E+02;2,16E+01;;;;;;;;;;;;;;;;
2,70E+02;5,86E+00;2,70E+02;9,70E+00;2,70E+02;1,43E+01;2,70E+02;1,89E+01;2,70E+02;2,24E+01;;;;;;;;;;;;;;;;
2,80E+02;5,67E+00;2,80E+02;9,49E+00;2,80E+02;1,41E+01;2,80E+02;1,89E+01;2,80E+02;2,31E+01;;;;;;;;;;;;;;;;
2,90E+02;5,51E+00;2,90E+02;9,23E+00;2,90E+02;1,39E+01;2,90E+02;1,89E+01;2,90E+02;2,35E+01;;;;;;;;;;;;;;;;
3,00E+02;5,40E+00;3,00E+02;8,97E+00;3,00E+02;1,36E+01;3,00E+02;1,88E+01;3,00E+02;2,38E+01;;;;;;;;;;;;;;;;
3,10E+02;5,08E+00;3,10E+02;8,78E+00;3,10E+02;1,33E+01;3,10E+02;1,86E+01;3,10E+02;2,39E+01;;;;;;;;;;;;;;;;
3,20E+02;4,89E+00;3,20E+02;8,56E+00;3,20E+02;1,31E+01;3,20E+02;1,84E+01;3,20E+02;2,40E+01;;;;;;;;;;;;;;;;
3,30E+02;4,66E+00;3,30E+02;8,34E+00;3,30E+02;1,28E+01;3,30E+02;1,81E+01;3,30E+02;2,39E+01;;;;;;;;;;;;;;;;
3,40E+02;4,45E+00;3,40E+02;8,12E+00;3,40E+02;1,25E+01;3,40E+02;1,79E+01;3,40E+02;2,37E+01;;;;;;;;;;;;;;;;
3,50E+02;4,26E+00;3,50E+02;7,87E+00;3,50E+02;1,22E+01;3,50E+02;1,75E+01;3,50E+02;2,35E+01;;;;;;;;;;;;;;;;
3,60E+02;4,06E+00;3,60E+02;7,78E+00;3,60E+02;1,20E+01;3,60E+02;1,72E+01;3,60E+02;2,33E+01;;;;;;;;;;;;;;;;
3,70E+02;3,90E+00;3,70E+02;7,38E+00;3,70E+02;1,17E+01;3,70E+02;1,70E+01;3,70E+02;2,30E+01;;;;;;;;;;;;;;;;
3,80E+02;3,73E+00;3,80E+02;7,13E+00;3,80E+02;1,14E+01;3,80E+02;1,66E+01;3,80E+02;2,27E+01;;;;;;;;;;;;;;;;
3,90E+02;3,57E+00;3,90E+02;6,88E+00;3,90E+02;1,12E+01;3,90E+02;1,63E+01;3,90E+02;2,23E+01;;;;;;;;;;;;;;;;
4,00E+02;3,43E+00;4,00E+02;6,61E+00;4,00E+02;1,09E+01;4,00E+02;1,59E+01;4,00E+02;2,20E+01;;;;;;;;;;;;;;;;
4,10E+02;3,28E+00;4,10E+02;6,37E+00;4,10E+02;1,07E+01;4,10E+02;1,57E+01;4,10E+02;2,17E+01;;;;;;;;;;;;;;;;
4,20E+02;3,16E+00;4,20E+02;6,13E+00;4,20E+02;1,06E+01;4,20E+02;1,54E+01;4,20E+02;2,14E+01;;;;;;;;;;;;;;;;
4,30E+02;2,98E+00;4,30E+02;5,90E+00;4,30E+02;1,01E+01;4,30E+02;1,51E+01;4,30E+02;2,10E+01;;;;;;;;;;;;;;;;
4,40E+02;2,81E+00;4,40E+02;5,68E+00;4,40E+02;9,78E+00;4,40E+02;1,48E+01;4,40E+02;2,06E+01;;;;;;;;;;;;;;;;
4,50E+02;2,65E+00;4,50E+02;5,48E+00;4,50E+02;9,52E+00;4,50E+02;1,45E+01;4,50E+02;2,02E+01;;;;;;;;;;;;;;;;
4,60E+02;2,47E+00;4,60E+02;5,31E+00;4,60E+02;9,22E+00;4,60E+02;1,42E+01;4,60E+02;1,99E+01;;;;;;;;;;;;;;;;
4,70E+02;2,32E+00;4,70E+02;5,11E+00;4,70E+02;8,90E+00;4,70E+02;1,39E+01;4,70E+02;1,95E+01;;;;;;;;;;;;;;;;
4,80E+02;2,15E+00;4,80E+02;4,93E+00;4,80E+02;8,62E+00;4,80E+02;1,38E+01;4,80E+02;1,93E+01;;;;;;;;;;;;;;;;
4,90E+02;1,98E+00;4,90E+02;4,76E+00;4,90E+02;8,34E+00;4,90E+02;1,33E+01;4,90E+02;1,88E+01;;;;;;;;;;;;;;;;
5,00E+02;1,84E+00;5,00E+02;4,59E+00;5,00E+02;8,09E+00;5,00E+02;1,28E+01;5,00E+02;1,86E+01;;;;;;;;;;;;;;;;
5,10E+02;1,67E+00;5,10E+02;4,42E+00;5,10E+02;7,82E+00;5,10E+02;1,26E+01;5,10E+02;1,83E+01;;;;;;;;;;;;;;;;
5,20E+02;1,51E+00;5,20E+02;4,21E+00;5,20E+02;7,59E+00;5,20E+02;1,22E+01;5,20E+02;1,79E+01;;;;;;;;;;;;;;;;
5,30E+02;1,35E+00;5,30E+02;4,01E+00;5,30E+02;7,34E+00;5,30E+02;1,19E+01;5,30E+02;1,77E+01;;;;;;;;;;;;;;;;
5,40E+02;1,19E+00;5,40E+02;3,82E+00;5,40E+02;7,13E+00;5,40E+02;1,15E+01;5,40E+02;1,75E+01;;;;;;;;;;;;;;;;
5,50E+02;1,03E+00;5,50E+02;3,61E+00;5,50E+02;6,91E+00;5,50E+02;1,12E+01;5,50E+02;1,69E+01;;;;;;;;;;;;;;;;
5,60E+02;8,66E-01;5,60E+02;3,42E+00;5,60E+02;6,72E+00;5,60E+02;1,09E+01;5,60E+02;1,64E+01;;;;;;;;;;;;;;;;
5,70E+02;7,14E-01;5,70E+02;3,22E+00;5,70E+02;6,53E+00;5,70E+02;1,06E+01;5,70E+02;1,60E+01;;;;;;;;;;;;;;;;
5,80E+02;5,66E-01;5,80E+02;3,01E+00;5,80E+02;6,31E+00;5,80E+02;1,03E+01;5,80E+02;1,57E+01;;;;;;;;;;;;;;;;
5,90E+02;3,98E-01;5,90E+02;2,81E+00;5,90E+02;6,10E+00;5,90E+02;1,00E+01;5,90E+02;1,53E+01;;;;;;;;;;;;;;;;
